strike,type,last_traded_price,last_traded_quantity,trade_volume,best_bid_price,best_bid_quantity,best_ask_price,best_ask_quantity,total_buy_quantity,total_sell_quantity,average_trade_price,exchange_timestamp,open_price,high_price,low_price,close_price,underlaying_price
2690000,CE,67695,20,0,71005,20,73160,20,12300,7860,0,1567136785,0,0,0,67695,2747225
2690000,PE,12895,40,70260,12815,20,12920,20,44260,28500,14030,1567136785,14400,15825,12300,14380,2747225
2700000,CE,64195,20,880,63675,40,64200,20,33600,24280,62971,1567136785,62580,64195,61605,54730,2747225
2700000,PE,15160,20,97880,15090,20,15155,20,60860,37280,16027,1567136785,16000,18000,14640,17240,2747225
2710000,CE,57200,20,2780,56445,20,57415,40,29420,24740,55372,1567136785,56055,57200,54360,50375,2747225
2710000,PE,17815,20,47400,17730,20,17735,20,42100,47160,18844,1567136785,20280,20720,17040,20640,2747225
2720000,CE,49915,20,4340,49775,20,49920,100,32960,28200,48542,1567136785,49845,50150,46915,43110,2747225
2720000,PE,20735,20,40260,20625,20,20795,60,43020,32580,21765,1567136785,25000,25000,19510,24030,2747225
2730000,CE,43500,20,16920,43355,60,43500,20,34500,33940,42261,1567136785,35110,43500,35110,36655,2747225
2730000,PE,24005,20,37680,24015,20,24210,20,39620,30680,25245,1567136785,16800,26970,16800,27925,2747225
2740000,CE,37490,20,32240,37335,60,37490,160,51780,40160,36329,1567136785,39630,39630,34800,31680,2747225
2740000,PE,27860,40,39500,27790,20,27920,60,40820,33380,29045,1567136785,32900,34825,27610,32170,2747225
2750000,CE,31860,20,78660,31860,20,31950,20,58060,47620,30709,1567136785,28505,32000,28500,26750,2747225
2750000,PE,32300,20,30220,32105,20,32300,1880,40660,33340,33254,1567136785,29000,34825,29000,37370,2747225
2760000,CE,26885,40,58220,26875,20,26900,360,48100,50100,25871,1567136785,27560,27560,24155,22870,2747225
2760000,PE,36960,20,2740,36805,20,37430,40,27580,25580,38027,1567136785,36935,39990,36800,43235,2747225
2770000,CE,22400,20,70640,22320,60,22410,20,53200,47440,21667,1567136785,23905,24555,19810,19065,2747225
2770000,PE,43250,20,1040,42115,20,42995,40,27380,25460,44059,1567136785,42180,45155,42100,49575,2747225
2780000,CE,18280,20,91380,18245,20,18295,20,48920,43500,17919,1567136785,17000,19030,15635,16020,2747225
2780000,PE,48000,20,760,48120,20,48990,40,25060,22600,48843,1567136785,51035,51035,48000,56015,2747225
2790000,CE,14960,20,76800,14940,60,15060,20,46380,37500,14619,1567136785,14400,15600,12725,13280,2747225
2790000,PE,55605,20,40,54570,20,55600,20,27320,21800,55302,1567136785,55000,55605,55000,62795,2747225
2690000,CE,67695,20,0,71705,20,73500,200,12680,7940,0,1567136845,0,0,0,67695,2746720
